epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3565.11,0.24224,0.20391,0.82084,0.67224,0.68311,0.69216,0.52748,0.98275,1.22847,1.38621,0.000319375,0.000319375,0.000319375
57,3627.78,0.23973,0.20147,0.82041,0.6977,0.65084,0.68898,0.52518,0.98106,1.229,1.38873,0.000307,0.000307,0.000307
58,3692.99,0.23808,0.20072,0.81886,0.65388,0.6965,0.69123,0.52679,0.98305,1.227,1.39287,0.000294625,0.000294625,0.000294625
59,3757.09,0.2368,0.19945,0.8194,0.657,0.69615,0.69232,0.52922,0.98108,1.22479,1.39153,0.00028225,0.00028225,0.00028225
60,3820.13,0.23464,0.19817,0.81758,0.71418,0.64869,0.69429,0.53017,0.98011,1.22189,1.39166,0.000269875,0.000269875,0.000269875
61,3885.36,0.23268,0.19676,0.81715,0.71176,0.65672,0.69596,0.53194,0.97653,1.22425,1.39009,0.0002575,0.0002575,0.0002575
62,3948.29,0.23016,0.19544,0.81599,0.7037,0.66688,0.69599,0.53245,0.9749,1.21946,1.3866,0.000245125,0.000245125,0.000245125
63,4012.81,0.22904,0.19476,0.81651,0.70574,0.66738,0.69572,0.53185,0.97171,1.21655,1.38354,0.00023275,0.00023275,0.00023275
64,4078.49,0.22482,0.19098,0.81429,0.70275,0.66754,0.69371,0.53119,0.97217,1.21674,1.3857,0.000220375,0.000220375,0.000220375
65,4141.31,0.22423,0.19174,0.81372,0.69603,0.67011,0.69395,0.53056,0.97362,1.21697,1.39107,0.000208,0.000208,0.000208
66,4205.93,0.22427,0.19143,0.81387,0.70092,0.66371,0.69386,0.52983,0.97463,1.21972,1.39231,0.000195625,0.000195625,0.000195625
67,4271.37,0.22179,0.1907,0.81279,0.70744,0.65538,0.69285,0.52944,0.97414,1.22204,1.39295,0.00018325,0.00018325,0.00018325
68,4334.93,0.22187,0.18943,0.81279,0.72412,0.6402,0.69345,0.52954,0.97264,1.22058,1.39196,0.000170875,0.000170875,0.000170875
69,4399.55,0.22009,0.18912,0.81208,0.71839,0.647,0.69344,0.52958,0.97237,1.22053,1.39289,0.0001585,0.0001585,0.0001585
70,4463.78,0.21657,0.18601,0.81147,0.71777,0.65111,0.69307,0.5297,0.97335,1.22113,1.3942,0.000146125,0.000146125,0.000146125
71,4528.92,0.21698,0.18776,0.81124,0.71787,0.65129,0.69496,0.53129,0.97327,1.22333,1.39494,0.00013375,0.00013375,0.00013375
72,4591.63,0.21591,0.18409,0.81079,0.71193,0.64775,0.69415,0.53011,0.97306,1.222,1.39476,0.000121375,0.000121375,0.000121375
73,4654.65,0.21399,0.18546,0.81089,0.71192,0.64637,0.69448,0.53066,0.9729,1.22217,1.39571,0.000109,0.000109,0.000109
74,4717.4,0.21387,0.18346,0.80952,0.70905,0.64881,0.69407,0.53042,0.97222,1.22508,1.39478,9.6625e-05,9.6625e-05,9.6625e-05
75,4780.04,0.21162,0.18338,0.80971,0.66937,0.68235,0.69431,0.53067,0.97208,1.22707,1.39542,8.425e-05,8.425e-05,8.425e-05
76,4843.28,0.21053,0.18415,0.80918,0.67538,0.68228,0.6939,0.53012,0.9715,1.22859,1.39562,7.1875e-05,7.1875e-05,7.1875e-05
77,4905.21,0.20939,0.18275,0.80867,0.70717,0.66222,0.69482,0.53124,0.97136,1.22841,1.39576,5.95e-05,5.95e-05,5.95e-05
78,4968.31,0.20848,0.18061,0.8079,0.70578,0.66179,0.69489,0.53141,0.97127,1.22805,1.39557,4.7125e-05,4.7125e-05,4.7125e-05
79,5030.41,0.2082,0.18099,0.80771,0.70915,0.65883,0.69466,0.53134,0.97104,1.22798,1.39565,3.475e-05,3.475e-05,3.475e-05
80,5092.32,0.20764,0.18127,0.80837,0.70802,0.65808,0.69474,0.53148,0.97112,1.22885,1.39601,2.2375e-05,2.2375e-05,2.2375e-05
